slug,locale,name,description,meta_title,meta_description
automatic-espresso-machine,de,Kaffeevollautomat,"Vollautomatische Bean-to-Cup-Espressomaschine mit Keramikmahlwerk, 15-bar-Drucksystem und intuitivem Touchdisplay. Liefert Espresso, Cappuccino und Latte auf Knopfdruck in Barista-Qualität.",Kaffeevollautomat | Spree Commerce Demo,"Kaffeevollautomat mit Keramikmahlwerk und 15-bar-Drucksystem. Barista-Qualität auf Knopfdruck."
automatic-espresso-machine,fr,Machine Espresso Automatique,"Machine espresso automatique grain-à-tasse avec broyeur céramique, système de pression 15 bars et écran tactile intuitif. Prépare espresso, cappuccino et latte d'une simple pression.",Machine Espresso Automatique | Spree Commerce Demo,"Machine espresso automatique avec broyeur céramique et pression 15 bars. Qualité barista à portée de main."
semi-automatic-espresso-machine,de,Siebträger-Espressomaschine,"Professionelle Siebträgermaschine mit 58mm-Siebträger, PID-Temperaturregelung und Dampflanze zum manuellen Milchaufschäumen.",Siebträger-Espressomaschine | Spree Commerce Demo,"Professionelle Siebträgermaschine mit PID-Temperaturregelung und 58mm-Siebträger für Barista-Erlebnisse zu Hause."
semi-automatic-espresso-machine,fr,Machine Espresso Semi-Automatique,"Machine espresso semi-automatique de qualité professionnelle avec porte-filtre 58mm, régulation PID de la température et buse vapeur pour le moussage manuel du lait.",Machine Espresso Semi-Automatique | Spree Commerce Demo,"Machine espresso semi-automatique professionnelle avec porte-filtre 58mm et régulation PID de la température."
drip-coffee-maker,de,Filterkaffeemaschine 1.5L,"Programmierbare Filterkaffeemaschine mit Thermoskanne, einstellbarer Brühstärke und 24-Stunden-Timer. Brüht bis zu 12 Tassen.",Filterkaffeemaschine 1.5L | Spree Commerce Demo,"Programmierbare Filterkaffeemaschine mit Thermoskanne und 24-Stunden-Timer. Bis zu 12 Tassen auf einmal."
drip-coffee-maker,fr,Cafetière Filtre 1.5L,"Cafetière filtre programmable avec carafe isotherme, intensité d'infusion réglable et minuterie 24 heures. Prépare jusqu'à 12 tasses.",Cafetière Filtre 1.5L | Spree Commerce Demo,"Cafetière filtre programmable avec carafe isotherme et minuterie 24 heures. Jusqu'à 12 tasses."
digital-air-fryer-4l,de,Digitale Heißluftfritteuse 4.2L,"Kompakte digitale Heißluftfritteuse mit 8 Voreinstellungen, Rapid-Air-Technologie und spülmaschinenfestem Korb. Ideal für kleine Haushalte.",Digitale Heißluftfritteuse 4.2L | Spree Commerce Demo,"Kompakte Heißluftfritteuse mit 8 Programmen und Rapid-Air-Technologie. Perfekt für kleine Haushalte."
digital-air-fryer-4l,fr,Friteuse à Air Numérique 4.2L,"Friteuse à air compacte avec 8 programmes prédéfinis, technologie de circulation d'air rapide et panier compatible lave-vaisselle. Idéale pour les petits foyers.",Friteuse à Air Numérique 4.2L | Spree Commerce Demo,"Friteuse à air compacte avec 8 programmes et circulation d'air rapide. Parfaite pour les petits foyers."
digital-air-fryer-6l,de,Digitale Heißluftfritteuse 6.2L,"Große digitale Heißluftfritteuse mit Touchscreen-Steuerung, 8 Voreinstellungen und Sichtfenster. Für Familien mit 4-6 Personen.",Digitale Heißluftfritteuse 6.2L | Spree Commerce Demo,"Große Heißluftfritteuse mit Touchscreen und Sichtfenster. Ideal für Familien mit 4 bis 6 Personen."
digital-air-fryer-6l,fr,Friteuse à Air Numérique 6.2L,"Friteuse à air grande capacité avec commandes tactiles, 8 programmes et fenêtre de visualisation transparente. Pour les familles de 4 à 6 personnes.",Friteuse à Air Numérique 6.2L | Spree Commerce Demo,"Friteuse à air grande capacité avec écran tactile et hublot. Idéale pour les familles de 4 à 6 personnes."
dual-basket-air-fryer,de,Doppelkorb-Heißluftfritteuse 8L,"Heißluftfritteuse mit zwei unabhängigen 4L-Körben, Sync-Finish-Technologie und 12 Garprogrammen. Zwei Gerichte gleichzeitig bei unterschiedlichen Temperaturen zubereiten.",Doppelkorb-Heißluftfritteuse 8L | Spree Commerce Demo,"Doppelkorb-Heißluftfritteuse mit Sync-Finish-Technologie. Zwei Gerichte gleichzeitig zubereiten."
dual-basket-air-fryer,fr,Friteuse à Air Double Panier 8L,"Friteuse à air à double zone avec deux paniers indépendants de 4L, technologie de finition synchronisée et 12 programmes de cuisson. Cuisinez deux plats simultanément à des températures différentes.",Friteuse à Air Double Panier 8L | Spree Commerce Demo,"Friteuse à air double panier avec finition synchronisée et 12 programmes. Deux plats à la fois."
